category,name,description,identity,type,pricing,pros,cons,use_case,prompt_tip,prompt,source
"글쓰기 & 정리","Gemini","","구글 연동 AI","Freemium","Free / Advanced (29,000원/월)","구글 생태계(Docs, Youtube) 연동. 영상 내용을 보지 않고 요약하거나 드라이브 문서를 참조함.","답변이 지나치게 윤리적/보수적이라 창작의 자유도가 떨어질 때가 있음.","자료 조사, 구글 워크스페이스 유저","멀티모달 프롬프트","""@Youtube 이 영상의 내용을 3줄 요약하고, 언급된 제품의 스펙을 표로 정리해줘.""","강정민"
"글쓰기 & 정리","Perplexity","","출처 기반 검색 AI","Freemium","Free / Pro ($20/월)","실시간 웹 검색과 정확한 출처(Citation). 답변의 근거가 되는 링크를 즉시 제공하여 팩트 체크 용이.","창의적 글쓰기나 스토리텔링 능력은 약함. 검색어 선정에 따라 품질 좌우.","리서치, 팩트 체크, 최신 동향 파악","검색어 중심","""2025년 생성형 AI 트렌드 리포트를 검색하고, 시장 규모 수치를 포함해 표로 만들어줘.""","강정민"
"글쓰기 & 정리","Notion AI","","문서 생산성 AI","유료","월 $8~10 (애드온 방식)","워크스페이스 내장형. 별도 창 이동 없이 문서 내에서 번역, 요약, 톤 앤 매너 수정 가능.","챗봇 자체 지능은 GPT-4 대비 낮음. 복잡한 추론보다 텍스트 가공에 특화.","회의록 정리, 문서 초안 다듬기","요약 프롬프트","(드래그 후) ""이 글의 어조를 '전문적이고 정중하게' 바꾸고, 오타를 수정해줘.""","강정민"
"글쓰기 & 정리","Sudowrite","","창작 특화 AI","유료","월 $10~22 (글자 수 제한)","'스토리 바이블' 기능. 등장인물, 세계관 설정을 기억하고 이를 반영하여 소설을 이어씀.","소설 외의 비즈니스 글쓰기나 일반 업무용으로는 부적합함.","웹소설, 시나리오 작가","플롯 지시","""주인공이 위기에 빠지는 장면을 '보여주기(Show, don't tell)' 기법으로 묘사해줘.""","강정민"
"글쓰기 & 정리","[Writer.com](http://writer.com/)","","기업용 AI","유료","Team ($18/월/인)","브랜드 보이스(Brand Voice) 통일. 기업 고유 용어와 톤을 학습시켜 팀 전체 글쓰기 표준화.","개인 사용자가 쓰기에는 가격과 기능이 과하고 설정이 복잡함.","마케팅 팀, 대기업 홍보실","가이드 기반","""우리 회사의 '친환경 가이드라인'에 맞춰 이 보도자료의 톤을 수정해줘.""","강정민"
"AI 코딩","Cursor","","AI IDE","Freemium","Free: 기본 모델 제한적 사용
Pro($20/월): Claude 3.5 Sonnet, GPT-4o 고속 모드, 무제한 자동완성","VS Code 포크 기반의 압도적 UX. 'Composer' 기능으로 여러 파일을 동시에 수정하고, 터미널 명령어까지 자연어로 제어.","사실상 유료(Pro)를 써야만 제대로 된 성능(Claude 3.5 Sonnet 등)을 체감 가능.","Free: 기본 모델 제한적 사용
Pro($20/월): Claude 3.5 Sonnet, GPT-4o 고속 모드, 무제한 자동완성","자연어 수정","(Cmd+K) ""이 auth.ts 파일의 로그인 함수를 리팩토링해줘. 에러 처리를 try-catch 블록으로 감싸고, 로그를 파일로 저장하도록 수정해.""","강정민"
"AI 코딩","GitHub Copilot","","코드 보조","유료","Individual($10/월): 개인용
Business($19/월): 기업용, IP 보호, 조직 관리 기능 포함","가장 방대한 코드 학습량과 IDE 범용성. 주석만 달면 코드를 짜주는 자동완성 기능이 가장 빠르고 안정적.","전체 프로젝트 구조를 이해하고 설계하는 '에이전트' 능력은 Cursor보다 부족함.","Individual($10/월): 개인용
Business($19/월): 기업용, IP 보호, 조직 관리 기능 포함","주석 기반","// 함수 설명: 사용자 입력을 받아 이메일 유효성을 검사하고 정규식을 사용하여 true/false를 반환하는 함수 (주석 작성 시 자동완성)","강정민"
"AI 코딩","Codeium","","코드 AI","무료","무료","무료 자동완성 실제 사용자 기준으로 학습 곡선이 비교적 완만하며, 단독 사용뿐 아니라 다른 AI 툴과 병행했을 때 시너지가 큼. 콘텐츠 제작, 업무 자동화, 실험적 프로젝트 등 다양한 맥락에서 재사용성이 높다는 점도 강점.","대형 프로젝트 약함 초기 설정이나 사용 방식에 익숙해지기까지 시행착오가 발생할 수 있음. 또한 고급 활용을 위해서는 사용자의 기획력이나 도메인 이해도가 일정 수준 이상 요구됨.","보조 코딩","명령 프롬프트","","강정민"
"AI 코딩","Replit Ghostwriter","","온라인 IDE","Freemium","Pro 플랜","웹 기반 실제 사용자 기준으로 학습 곡선이 비교적 완만하며, 단독 사용뿐 아니라 다른 AI 툴과 병행했을 때 시너지가 큼. 콘텐츠 제작, 업무 자동화, 실험적 프로젝트 등 다양한 맥락에서 재사용성이 높다는 점도 강점.","성능 제한 초기 설정이나 사용 방식에 익숙해지기까지 시행착오가 발생할 수 있음. 또한 고급 활용을 위해서는 사용자의 기획력이나 도메인 이해도가 일정 수준 이상 요구됨.","학습·프로토","대화형","","강정민"
"AI 코딩","Tabnine","","코드 추천","Freemium","팀 플랜","보안 강점 실제 사용자 기준으로 학습 곡선이 비교적 완만하며, 단독 사용뿐 아니라 다른 AI 툴과 병행했을 때 시너지가 큼. 콘텐츠 제작, 업무 자동화, 실험적 프로젝트 등 다양한 맥락에서 재사용성이 높다는 점도 강점.","맥락 약함 초기 설정이나 사용 방식에 익숙해지기까지 시행착오가 발생할 수 있음. 또한 고급 활용을 위해서는 사용자의 기획력이나 도메인 이해도가 일정 수준 이상 요구됨.","기업 개발","짧은 지시","","강정민"
"AI 코딩","Aider","","터미널 AI","무료","오픈소스","Git 연계 실제 사용자 기준으로 학습 곡선이 비교적 완만하며, 단독 사용뿐 아니라 다른 AI 툴과 병행했을 때 시너지가 큼. 콘텐츠 제작, 업무 자동화, 실험적 프로젝트 등 다양한 맥락에서 재사용성이 높다는 점도 강점.","CLI 부담 초기 설정이나 사용 방식에 익숙해지기까지 시행착오가 발생할 수 있음. 또한 고급 활용을 위해서는 사용자의 기획력이나 도메인 이해도가 일정 수준 이상 요구됨.","고급 사용자","명령형","","강정민"
"AI 코딩","Sourcegraph Cody","","코드 검색 AI","유료","엔터프라이즈","대형 코드베이스 실제 사용자 기준으로 학습 곡선이 비교적 완만하며, 단독 사용뿐 아니라 다른 AI 툴과 병행했을 때 시너지가 큼. 콘텐츠 제작, 업무 자동화, 실험적 프로젝트 등 다양한 맥락에서 재사용성이 높다는 점도 강점.","개인 과함 초기 설정이나 사용 방식에 익숙해지기까지 시행착오가 발생할 수 있음. 또한 고급 활용을 위해서는 사용자의 기획력이나 도메인 이해도가 일정 수준 이상 요구됨.","기업 코드","질문형","","강정민"
"회의 & 기록","[Otter.ai](http://otter.ai/)","","회의 전사","Freemium","Free: 월 300분
Pro($10/월): 월 1200분, 고급 검색 및 요약 기능","영어권 화자 분리 및 딕테이션 정확도 최상. 줌/구글밋 등 자동 접속 및 슬라이드 캡처 기능 보유.","한국어 인식률이 매우 낮음. 국내 회의용으로는 부적합하며 영어 회의 전용.","Free: 월 300분
Pro($10/월): 월 1200분, 고급 검색 및 요약 기능","요약 중심","""Summarize the key decisions made regarding the Q3 budget from this meeting."" (영어 전용)","강정민"
"회의 & 기록","[Fireflies.ai](http://fireflies.ai/)","","회의 요약","Freemium","유료","검색·공유 실제 사용자 기준으로 학습 곡선이 비교적 완만하며, 단독 사용뿐 아니라 다른 AI 툴과 병행했을 때 시너지가 큼. 콘텐츠 제작, 업무 자동화, 실험적 프로젝트 등 다양한 맥락에서 재사용성이 높다는 점도 강점.","UI 복잡 초기 설정이나 사용 방식에 익숙해지기까지 시행착오가 발생할 수 있음. 또한 고급 활용을 위해서는 사용자의 기획력이나 도메인 이해도가 일정 수준 이상 요구됨.","팀 회의","액션 지시","","강정민"
"회의 & 기록","tl;dv","","하이라이트","Freemium","Free: 녹화/대본 무제한
Pro($20/월): CRM 연동, AI 요약 템플릿 커스텀, 클립 다운로드","무료 버전의 기능이 매우 강력함. 회의 녹화 무제한 및 타임스탬프 기능, 노션/슬랙 연동 우수.","화상 회의 툴(Zoom, Meet, Teams)에 봇이 들어와야만 작동함 (파일 업로드 제한적).","Free: 녹화/대본 무제한
Pro($20/월): CRM 연동, AI 요약 템플릿 커스텀, 클립 다운로드","핵심 요청","""영업 미팅 중 고객이 '가격'에 대해 언급한 구간만 찾아서 클립으로 따고, 슬랙 채널에 공유해줘.""","강정민"
"회의 & 기록","Notta","","전사 AI","Freemium","유료","다국어 지원 실제 사용자 기준으로 학습 곡선이 비교적 완만하며, 단독 사용뿐 아니라 다른 AI 툴과 병행했을 때 시너지가 큼. 콘텐츠 제작, 업무 자동화, 실험적 프로젝트 등 다양한 맥락에서 재사용성이 높다는 점도 강점.","인지도 낮음 초기 설정이나 사용 방식에 익숙해지기까지 시행착오가 발생할 수 있음. 또한 고급 활용을 위해서는 사용자의 기획력이나 도메인 이해도가 일정 수준 이상 요구됨.","글로벌 회의","언어 지정","","강정민"
"회의 & 기록","Fathom","","회의 요약","무료","무료","무료 강점 실제 사용자 기준으로 학습 곡선이 비교적 완만하며, 단독 사용뿐 아니라 다른 AI 툴과 병행했을 때 시너지가 큼. 콘텐츠 제작, 업무 자동화, 실험적 프로젝트 등 다양한 맥락에서 재사용성이 높다는 점도 강점.","기능 단순 초기 설정이나 사용 방식에 익숙해지기까지 시행착오가 발생할 수 있음. 또한 고급 활용을 위해서는 사용자의 기획력이나 도메인 이해도가 일정 수준 이상 요구됨.","미팅 요약","자동 요약","","강정민"
"회의 & 기록","Grain","","회의 클립","유료","팀 플랜","공유 최적 실제 사용자 기준으로 학습 곡선이 비교적 완만하며, 단독 사용뿐 아니라 다른 AI 툴과 병행했을 때 시너지가 큼. 콘텐츠 제작, 업무 자동화, 실험적 프로젝트 등 다양한 맥락에서 재사용성이 높다는 점도 강점.","요약 약함 초기 설정이나 사용 방식에 익숙해지기까지 시행착오가 발생할 수 있음. 또한 고급 활용을 위해서는 사용자의 기획력이나 도메인 이해도가 일정 수준 이상 요구됨.","세일즈","하이라이트","","강정민"
"회의 & 기록","Sembly","","회의 인사이트","유료","구독","분석 제공 실제 사용자 기준으로 학습 곡선이 비교적 완만하며, 단독 사용뿐 아니라 다른 AI 툴과 병행했을 때 시너지가 큼. 콘텐츠 제작, 업무 자동화, 실험적 프로젝트 등 다양한 맥락에서 재사용성이 높다는 점도 강점.","비용 초기 설정이나 사용 방식에 익숙해지기까지 시행착오가 발생할 수 있음. 또한 고급 활용을 위해서는 사용자의 기획력이나 도메인 이해도가 일정 수준 이상 요구됨.","회의 분석","요약 지시","","강정민"
"영상 생성 & 편집","Runway","","생성형 영상","Freemium","Free: 125 크레딧(일회성)
Standard($12/월): 월 625 크레딧, 워터마크 제거, 해상도 업스케일","가장 진보된 비디오 AI 모델 (Gen-3 Alpha). 모션 브러시로 특정 부분만 움직이게 하는 등 디테일 컨트롤 가능.","생성 속도가 느리고, 고품질 영상을 뽑으려면 크레딧 소모가 매우 커서 비용 부담이 높음.","Free: 125 크레딧(일회성)
Standard($12/월): 월 625 크레딧, 워터마크 제거, 해상도 업스케일","묘사형","""시네마틱 스타일, 드론 샷. 비 젖은 사이버펑크 도시의 네온사인을 배경으로 천천히 걸어가는 로봇. (Camera Motion: Zoom in)""","강정민"
"영상 생성 & 편집","Pika","","텍스트→영상","Freemium","Free: 월 30 크레딧
Standard($10/월): 월 700 크레딧, 워터마크 제거","애니메이션 및 물리 법칙 표현 우수. 입모양(Lip Sync)을 맞추는 기능과 특정 사물을 영상으로 변환하는 기능 특화.","실사 영상보다는 3D 애니메이션이나 일러스트 풍 영상에서 더 강점을 보임.","Free: 월 30 크레딧
Standard($10/월): 월 700 크레딧, 워터마크 제거","장면 지시","""Image to Video 기능을 사용. (사진 업로드 후) 이 캐릭터가 눈을 깜빡이며 웃는 모습을 자연스럽게 만들어줘.""","강정민"
"영상 생성 & 편집","CapCut","","편집 툴","무료","무료","자막 강점 실제 사용자 기준으로 학습 곡선이 비교적 완만하며, 단독 사용뿐 아니라 다른 AI 툴과 병행했을 때 시너지가 큼. 콘텐츠 제작, 업무 자동화, 실험적 프로젝트 등 다양한 맥락에서 재사용성이 높다는 점도 강점.","창작 한계 초기 설정이나 사용 방식에 익숙해지기까지 시행착오가 발생할 수 있음. 또한 고급 활용을 위해서는 사용자의 기획력이나 도메인 이해도가 일정 수준 이상 요구됨.","숏폼","템플릿","","강정민"
"영상 생성 & 편집","Descript","","텍스트 편집","Freemium","Pro","오디오 강점 실제 사용자 기준으로 학습 곡선이 비교적 완만하며, 단독 사용뿐 아니라 다른 AI 툴과 병행했을 때 시너지가 큼. 콘텐츠 제작, 업무 자동화, 실험적 프로젝트 등 다양한 맥락에서 재사용성이 높다는 점도 강점.","영상 제한 초기 설정이나 사용 방식에 익숙해지기까지 시행착오가 발생할 수 있음. 또한 고급 활용을 위해서는 사용자의 기획력이나 도메인 이해도가 일정 수준 이상 요구됨.","팟캐스트","스크립트","","강정민"
"영상 생성 & 편집","Vrew","","자막 AI","Freemium","Free: 월 120분 음성분석
Light(9,900원/월): 월 600분, 워터마크 제거","한국어 음성 인식 및 자막 생성 독보적. 영상을 텍스트 문서 편집하듯 자르고 붙이는 '워드 프로세서' 방식 편집.","전문적인 영상 효과(화려한 트랜지션, 색보정 등)를 주기에는 기능이 제한적임.","Free: 월 120분 음성분석
Light(9,900원/월): 월 600분, 워터마크 제거","자동 컷","(대본 입력 후) ""이 대본에 어울리는 무료 이미지와 영상을 자동으로 매칭해서 쇼츠 영상으로 만들어줘.""","강정민"
"영상 생성 & 편집","Opus Clip","","쇼츠 AI","유료","구독","자동 분할 실제 사용자 기준으로 학습 곡선이 비교적 완만하며, 단독 사용뿐 아니라 다른 AI 툴과 병행했을 때 시너지가 큼. 콘텐츠 제작, 업무 자동화, 실험적 프로젝트 등 다양한 맥락에서 재사용성이 높다는 점도 강점.","커스터마이즈 초기 설정이나 사용 방식에 익숙해지기까지 시행착오가 발생할 수 있음. 또한 고급 활용을 위해서는 사용자의 기획력이나 도메인 이해도가 일정 수준 이상 요구됨.","유튜브","하이라이트","","강정민"
"영상 생성 & 편집","Wisecut","","자동 편집","Freemium","유료","무음 제거 실제 사용자 기준으로 학습 곡선이 비교적 완만하며, 단독 사용뿐 아니라 다른 AI 툴과 병행했을 때 시너지가 큼. 콘텐츠 제작, 업무 자동화, 실험적 프로젝트 등 다양한 맥락에서 재사용성이 높다는 점도 강점.","연출 부족 초기 설정이나 사용 방식에 익숙해지기까지 시행착오가 발생할 수 있음. 또한 고급 활용을 위해서는 사용자의 기획력이나 도메인 이해도가 일정 수준 이상 요구됨.","브이로그","자동 편집","","강정민"
"만화 & 스토리보드","Boords","","스토리보드","유료","팀 플랜","기획 특화 실제 사용자 기준으로 학습 곡선이 비교적 완만하며, 단독 사용뿐 아니라 다른 AI 툴과 병행했을 때 시너지가 큼. 콘텐츠 제작, 업무 자동화, 실험적 프로젝트 등 다양한 맥락에서 재사용성이 높다는 점도 강점.","창작 한계 초기 설정이나 사용 방식에 익숙해지기까지 시행착오가 발생할 수 있음. 또한 고급 활용을 위해서는 사용자의 기획력이나 도메인 이해도가 일정 수준 이상 요구됨.","영상 기획","장면 지시","","강정민"
"만화 & 스토리보드","[Storyboarder.ai](http://storyboarder.ai/)","","콘티 AI","유료","구독","대본→콘티 실제 사용자 기준으로 학습 곡선이 비교적 완만하며, 단독 사용뿐 아니라 다른 AI 툴과 병행했을 때 시너지가 큼. 콘텐츠 제작, 업무 자동화, 실험적 프로젝트 등 다양한 맥락에서 재사용성이 높다는 점도 강점.","표현 제한 초기 설정이나 사용 방식에 익숙해지기까지 시행착오가 발생할 수 있음. 또한 고급 활용을 위해서는 사용자의 기획력이나 도메인 이해도가 일정 수준 이상 요구됨.","콘셉트","장면 요약","","강정민"
"만화 & 스토리보드","Dashtoon","","AI 만화","유료","구독","패널 일관성 실제 사용자 기준으로 학습 곡선이 비교적 완만하며, 단독 사용뿐 아니라 다른 AI 툴과 병행했을 때 시너지가 큼. 콘텐츠 제작, 업무 자동화, 실험적 프로젝트 등 다양한 맥락에서 재사용성이 높다는 점도 강점.","장르 제한 초기 설정이나 사용 방식에 익숙해지기까지 시행착오가 발생할 수 있음. 또한 고급 활용을 위해서는 사용자의 기획력이나 도메인 이해도가 일정 수준 이상 요구됨.","웹툰","스토리 지시","","강정민"
"만화 & 스토리보드","Anifusion","","AI 망가","유료","크레딧","스타일 실제 사용자 기준으로 학습 곡선이 비교적 완만하며, 단독 사용뿐 아니라 다른 AI 툴과 병행했을 때 시너지가 큼. 콘텐츠 제작, 업무 자동화, 실험적 프로젝트 등 다양한 맥락에서 재사용성이 높다는 점도 강점.","편집 약함 초기 설정이나 사용 방식에 익숙해지기까지 시행착오가 발생할 수 있음. 또한 고급 활용을 위해서는 사용자의 기획력이나 도메인 이해도가 일정 수준 이상 요구됨.","망가 제작","스타일 태그","","강정민"
"만화 & 스토리보드","NovelAI Image","","캐릭터 생성","유료","구독","일관성 실제 사용자 기준으로 학습 곡선이 비교적 완만하며, 단독 사용뿐 아니라 다른 AI 툴과 병행했을 때 시너지가 큼. 콘텐츠 제작, 업무 자동화, 실험적 프로젝트 등 다양한 맥락에서 재사용성이 높다는 점도 강점.","실사 약함 초기 설정이나 사용 방식에 익숙해지기까지 시행착오가 발생할 수 있음. 또한 고급 활용을 위해서는 사용자의 기획력이나 도메인 이해도가 일정 수준 이상 요구됨.","캐릭터","태그형","","강정민"
"만화 & 스토리보드","Leonardo","","이미지 AI","Freemium","유료","디자인 실제 사용자 기준으로 학습 곡선이 비교적 완만하며, 단독 사용뿐 아니라 다른 AI 툴과 병행했을 때 시너지가 큼. 콘텐츠 제작, 업무 자동화, 실험적 프로젝트 등 다양한 맥락에서 재사용성이 높다는 점도 강점.","스토리 약함 초기 설정이나 사용 방식에 익숙해지기까지 시행착오가 발생할 수 있음. 또한 고급 활용을 위해서는 사용자의 기획력이나 도메인 이해도가 일정 수준 이상 요구됨.","일러스트","스타일","","강정민"
"만화 & 스토리보드","ComfyUI","","로컬 파이프","무료","오픈소스","컨트롤 실제 사용자 기준으로 학습 곡선이 비교적 완만하며, 단독 사용뿐 아니라 다른 AI 툴과 병행했을 때 시너지가 큼. 콘텐츠 제작, 업무 자동화, 실험적 프로젝트 등 다양한 맥락에서 재사용성이 높다는 점도 강점.","설정 복잡 초기 설정이나 사용 방식에 익숙해지기까지 시행착오가 발생할 수 있음. 또한 고급 활용을 위해서는 사용자의 기획력이나 도메인 이해도가 일정 수준 이상 요구됨.","고급 제작","노드","","강정민"
"음악 생성","Suno","","노래 생성","Freemium","유료","보컬 포함 실제 사용자 기준으로 학습 곡선이 비교적 완만하며, 단독 사용뿐 아니라 다른 AI 툴과 병행했을 때 시너지가 큼. 콘텐츠 제작, 업무 자동화, 실험적 프로젝트 등 다양한 맥락에서 재사용성이 높다는 점도 강점.","편집 한계 초기 설정이나 사용 방식에 익숙해지기까지 시행착오가 발생할 수 있음. 또한 고급 활용을 위해서는 사용자의 기획력이나 도메인 이해도가 일정 수준 이상 요구됨.","BGM","장르 지시","","강정민"
"음악 생성","Udio","","노래 생성","Freemium","유료","편집 가능 실제 사용자 기준으로 학습 곡선이 비교적 완만하며, 단독 사용뿐 아니라 다른 AI 툴과 병행했을 때 시너지가 큼. 콘텐츠 제작, 업무 자동화, 실험적 프로젝트 등 다양한 맥락에서 재사용성이 높다는 점도 강점.","UI 복잡 초기 설정이나 사용 방식에 익숙해지기까지 시행착오가 발생할 수 있음. 또한 고급 활용을 위해서는 사용자의 기획력이나 도메인 이해도가 일정 수준 이상 요구됨.","곡 제작","구조 지시","","강정민"
"음악 생성","AIVA","","작곡 AI","유료","구독","클래식 실제 사용자 기준으로 학습 곡선이 비교적 완만하며, 단독 사용뿐 아니라 다른 AI 툴과 병행했을 때 시너지가 큼. 콘텐츠 제작, 업무 자동화, 실험적 프로젝트 등 다양한 맥락에서 재사용성이 높다는 점도 강점.","대중성 초기 설정이나 사용 방식에 익숙해지기까지 시행착오가 발생할 수 있음. 또한 고급 활용을 위해서는 사용자의 기획력이나 도메인 이해도가 일정 수준 이상 요구됨.","BGM","스타일","","강정민"
"음악 생성","Soundraw","","BGM","유료","구독","로열티 실제 사용자 기준으로 학습 곡선이 비교적 완만하며, 단독 사용뿐 아니라 다른 AI 툴과 병행했을 때 시너지가 큼. 콘텐츠 제작, 업무 자동화, 실험적 프로젝트 등 다양한 맥락에서 재사용성이 높다는 점도 강점.","보컬 없음 초기 설정이나 사용 방식에 익숙해지기까지 시행착오가 발생할 수 있음. 또한 고급 활용을 위해서는 사용자의 기획력이나 도메인 이해도가 일정 수준 이상 요구됨.","영상 음악","분위기","","강정민"
"음악 생성","Beatoven","","BGM AI","유료","구독","길이 조절 실제 사용자 기준으로 학습 곡선이 비교적 완만하며, 단독 사용뿐 아니라 다른 AI 툴과 병행했을 때 시너지가 큼. 콘텐츠 제작, 업무 자동화, 실험적 프로젝트 등 다양한 맥락에서 재사용성이 높다는 점도 강점.","장르 제한 초기 설정이나 사용 방식에 익숙해지기까지 시행착오가 발생할 수 있음. 또한 고급 활용을 위해서는 사용자의 기획력이나 도메인 이해도가 일정 수준 이상 요구됨.","영상","타임라인","","강정민"
"음악 생성","Mubert","","스트리밍","Freemium","유료","다양성 실제 사용자 기준으로 학습 곡선이 비교적 완만하며, 단독 사용뿐 아니라 다른 AI 툴과 병행했을 때 시너지가 큼. 콘텐츠 제작, 업무 자동화, 실험적 프로젝트 등 다양한 맥락에서 재사용성이 높다는 점도 강점.","저작권 이슈 초기 설정이나 사용 방식에 익숙해지기까지 시행착오가 발생할 수 있음. 또한 고급 활용을 위해서는 사용자의 기획력이나 도메인 이해도가 일정 수준 이상 요구됨.","배경음","텍스트","","강정민"
"음악 생성","Boomy","","간편 음악","Freemium","유료","속도 실제 사용자 기준으로 학습 곡선이 비교적 완만하며, 단독 사용뿐 아니라 다른 AI 툴과 병행했을 때 시너지가 큼. 콘텐츠 제작, 업무 자동화, 실험적 프로젝트 등 다양한 맥락에서 재사용성이 높다는 점도 강점.","완성도 초기 설정이나 사용 방식에 익숙해지기까지 시행착오가 발생할 수 있음. 또한 고급 활용을 위해서는 사용자의 기획력이나 도메인 이해도가 일정 수준 이상 요구됨.","데모","장르","","강정민"
